Date,Price
"Oct 21, 2016",66.926
"Oct 20, 2016",66.83
"Oct 19, 2016",66.645
"Oct 18, 2016",66.733
"Oct 17, 2016",66.789
"Oct 16, 2016",66.715
"Oct 14, 2016",66.717
"Oct 13, 2016",66.794
"Oct 12, 2016",66.812
"Oct 11, 2016",66.834
"Oct 10, 2016",66.492
"Oct 09, 2016",66.601
"Oct 07, 2016",66.602
"Oct 06, 2016",66.697
"Oct 05, 2016",66.572
"Oct 04, 2016",66.609
"Oct 03, 2016",66.546
"Oct 02, 2016",66.557
"Sep 30, 2016",66.556
"Sep 29, 2016",66.812
"Sep 28, 2016",66.349
"Sep 27, 2016",66.425
"Sep 26, 2016",66.613
"Sep 25, 2016",66.706
"Sep 23, 2016",66.707
"Sep 22, 2016",66.633
"Sep 21, 2016",66.744
"Sep 20, 2016",66.985
"Sep 19, 2016",66.98
"Sep 18, 2016",67.075
"Sep 16, 2016",67.075
"Sep 15, 2016",66.86
"Sep 14, 2016",66.798
"Sep 13, 2016",67.14
"Sep 12, 2016",66.738
"Sep 11, 2016",66.785
"Sep 09, 2016",66.895
"Sep 08, 2016",66.631
"Sep 07, 2016",66.478
"Sep 06, 2016",66.28
"Sep 05, 2016",66.47
"Sep 04, 2016",66.583
"Sep 02, 2016",66.795
"Sep 01, 2016",66.801
"Aug 31, 2016",66.973
"Aug 30, 2016",67.144
"Aug 29, 2016",67.113
"Aug 28, 2016",67.136
"Aug 26, 2016",67.136
"Aug 25, 2016",67.016
"Aug 24, 2016",67.167
"Aug 23, 2016",67.122
"Aug 22, 2016",67.202
"Aug 21, 2016",67.137
"Aug 19, 2016",67.137
"Aug 18, 2016",66.83
"Aug 17, 2016",66.893
"Aug 16, 2016",66.87
"Aug 15, 2016",66.853
"Aug 14, 2016",66.91
"Aug 12, 2016",66.908
"Aug 11, 2016",66.75
"Aug 10, 2016",66.765
"Aug 09, 2016",66.774
"Aug 08, 2016",66.81
"Aug 07, 2016",66.842
"Aug 05, 2016",66.842
"Aug 04, 2016",66.84
"Aug 03, 2016",66.767
"Aug 02, 2016",66.682
"Aug 01, 2016",66.764
"Jul 31, 2016",66.656
"Jul 29, 2016",66.655
"Jul 28, 2016",67.014
"Jul 27, 2016",67.072
"Jul 26, 2016",67.321
"Jul 25, 2016",67.412
"Jul 24, 2016",67.154
"Jul 22, 2016",67.154
"Jul 21, 2016",67.153
"Jul 20, 2016",67.163
"Jul 19, 2016",67.204
"Jul 18, 2016",67.137
"Jul 17, 2016",67.141
"Jul 15, 2016",67.141
"Jul 14, 2016",66.843
"Jul 13, 2016",67.016
"Jul 12, 2016",66.975
"Jul 11, 2016",67.138
"Jul 10, 2016",67.14
"Jul 08, 2016",67.139
"Jul 07, 2016",67.495
"Jul 06, 2016",67.411
"Jul 05, 2016",67.434
"Jul 04, 2016",67.265
"Jul 03, 2016",67.189
"Jul 01, 2016",67.19
"Jun 30, 2016",67.504
"Jun 29, 2016",67.422
"Jun 28, 2016",67.715
"Jun 27, 2016",67.914
"Jun 26, 2016",67.884
"Jun 24, 2016",67.885
"Jun 23, 2016",67.279
"Jun 22, 2016",67.449
"Jun 21, 2016",67.624
"Jun 20, 2016",67.551
"Jun 19, 2016",67.074
"Jun 17, 2016",67.074
"Jun 16, 2016",67.315
"Jun 15, 2016",67.079
"Jun 14, 2016",67.292
"Jun 13, 2016",67.187
"Jun 12, 2016",66.952
"Jun 10, 2016",66.952
"Jun 09, 2016",66.753
"Jun 08, 2016",66.5
"Jun 07, 2016",66.658
"Jun 06, 2016",66.79
"Jun 05, 2016",66.999
"Jun 03, 2016",67
"Jun 02, 2016",67.268
"Jun 01, 2016",67.434
"May 31, 2016",67.209
"May 30, 2016",67.171
"May 29, 2016",67.032
"May 27, 2016",67.031
"May 26, 2016",66.927
"May 25, 2016",67.273
"May 24, 2016",67.63
"May 23, 2016",67.409
"May 22, 2016",67.43
"May 20, 2016",67.408
"May 19, 2016",67.436
"May 18, 2016",67.14
"May 17, 2016",66.825
"May 16, 2016",66.844
"May 15, 2016",66.925
"May 13, 2016",66.855
"May 12, 2016",66.757
"May 11, 2016",66.561
"May 10, 2016",66.631
"May 09, 2016",66.752
"May 08, 2016",66.602
"May 06, 2016",66.6
"May 05, 2016",66.558
"May 04, 2016",66.627
"May 03, 2016",66.558
"May 02, 2016",66.346
"May 01, 2016",66.425
"Apr 29, 2016",66.425
"Apr 28, 2016",66.401
"Apr 27, 2016",66.362
"Apr 26, 2016",66.404
"Apr 25, 2016",66.685
"Apr 24, 2016",66.66
"Apr 22, 2016",66.66
"Apr 21, 2016",66.489
"Apr 20, 2016",66.166
"Apr 19, 2016",66.15
"Apr 18, 2016",66.416
"Apr 15, 2016",66.66
"Apr 14, 2016",66.597
"Apr 13, 2016",66.496
"Apr 12, 2016",66.283
"Apr 11, 2016",66.287
"Apr 08, 2016",66.551
"Apr 07, 2016",66.757
"Apr 06, 2016",66.517
"Apr 05, 2016",66.422
"Apr 04, 2016",66.106
"Apr 01, 2016",66.365
"Mar 31, 2016",66.255
"Mar 30, 2016",66.375
"Mar 29, 2016",66.375
"Mar 28, 2016",66.608
"Mar 25, 2016",66.829
"Mar 24, 2016",66.916
"Mar 23, 2016",66.93
"Mar 22, 2016",66.755
"Mar 21, 2016",66.5
"Mar 18, 2016",66.384
"Mar 17, 2016",66.619
"Mar 16, 2016",67.173
"Mar 15, 2016",67.372
"Mar 14, 2016",67.138
"Mar 11, 2016",66.921
"Mar 10, 2016",67.302
"Mar 09, 2016",67.128
"Mar 08, 2016",67.313
"Mar 07, 2016",66.989
"Mar 04, 2016",66.938
"Mar 03, 2016",67.122
"Mar 02, 2016",67.395
"Mar 01, 2016",67.753
"Feb 29, 2016",68.208
"Feb 26, 2016",68.737
"Feb 25, 2016",68.768
"Feb 24, 2016",68.431
"Feb 23, 2016",68.561
"Feb 22, 2016",68.533
"Feb 19, 2016",68.545
"Feb 18, 2016",68.542
"Feb 17, 2016",68.329
"Feb 16, 2016",68.474
"Feb 15, 2016",68.131
"Feb 12, 2016",68.118
"Feb 11, 2016",68.471
"Feb 10, 2016",67.861
"Feb 09, 2016",67.901
"Feb 08, 2016",68.034
"Feb 05, 2016",67.81
"Feb 04, 2016",67.544
"Feb 03, 2016",67.934
"Feb 02, 2016",67.975
"Feb 01, 2016",67.835
"Jan 29, 2016",67.878
"Jan 28, 2016",68.053
"Jan 27, 2016",68.144
"Jan 26, 2016",67.739
"Jan 25, 2016",67.755
"Jan 22, 2016",67.549
"Jan 21, 2016",67.799
"Jan 20, 2016",67.958
"Jan 19, 2016",67.734
"Jan 18, 2016",67.661
"Jan 15, 2016",67.775
"Jan 14, 2016",67.316
"Jan 13, 2016",66.917
"Jan 12, 2016",66.946
"Jan 11, 2016",66.76
"Jan 08, 2016",66.847
"Jan 07, 2016",66.891
"Jan 06, 2016",66.698
"Jan 05, 2016",66.481
"Jan 04, 2016",66.579
"Jan 01, 2016",66.235
"Dec 31, 2015",66.208
"Dec 30, 2015",66.475
"Dec 29, 2015",66.235
"Dec 28, 2015",66.137
"Dec 25, 2015",66.025
"Dec 24, 2015",65.947
"Dec 23, 2015",66.037
"Dec 22, 2015",66.244
"Dec 21, 2015",66.251
"Dec 18, 2015",66.255
"Dec 17, 2015",66.421
"Dec 16, 2015",66.476
"Dec 15, 2015",66.863
"Dec 14, 2015",67.093
"Dec 11, 2015",67.148
"Dec 10, 2015",66.756
"Dec 09, 2015",66.855
"Dec 08, 2015",66.857
"Dec 07, 2015",66.773
"Dec 04, 2015",66.643
"Dec 03, 2015",66.79
"Dec 02, 2015",66.591
"Dec 01, 2015",66.434
"Nov 30, 2015",66.462
"Nov 27, 2015",66.907
"Nov 26, 2015",66.565
"Nov 25, 2015",66.368
"Nov 24, 2015",66.262
"Nov 23, 2015",66.395
"Nov 20, 2015",66.058
